Verb,Functions,Semantics,Reliability,Contingency,Accessibility,Textbook,Learner
恨,Stimulus,Psych,No,Attracted,4,1.85,0.78
念念不忘,Stimulus,Psych,Yes,Repelled,6,0,0.78
帮助,Concerned,Attribute,Yes,Repelled,1,0,0.78
容易,Concerned,Attribute,Yes,Repelled,2,0,0.78
存在,Theme,Functional,No,Repelled,4,0,0.78
喜爱,Stimulus,Psych,No,Repelled,6,0,0.78
哭,Target,Physical,No,Repelled,2,0,0.78
和善,Target,Manner,Yes,Repelled,6,0,0.78
吃惊,Stimulus,Psych,Yes,Repelled,3,0,0.78
变,Scope,Functional,Yes,Repelled,6,0,0.78
发,Target,Communication,No,Repelled,2,0,0.78
友爱,Target,Manner,Yes,Repelled,6,0,0.78
友善,Target,Manner,Yes,Repelled,6,0,0.78
又恨又爱,Stimulus,Psych,Yes,Repelled,6,0,0.78
加深,Theme,Functional,No,Repelled,6,0,0.78
凶,Target,Manner,Yes,Repelled,6,0,0.78
减免,Scope,Social,Yes,Repelled,6,0,0.78
冷酷,Target,Manner,Yes,Attracted,5,0,0.78
冷漠,Target,Manner,Yes,Repelled,6,0,0.78
兴致勃勃,Stimulus,Psych,Yes,Repelled,5,0,0.78
关照,Target,Social,No,Repelled,5,0,0.78
公平,Concerned,Attribute,Yes,Attracted,4,1.85,0.78
佩服,Stimulus,Psych,No,Repelled,4,0,0.78
体贴,Target,Manner,Yes,Attracted,4,1.85,0.78
付出,Target,Social,No,Repelled,6,0,0.78
介绍,Target,Communication,No,Repelled,1,0,0.78
严肃,Target,Manner,Yes,Attracted,4,1.85,0.78
严格,Target,Manner,Yes,Attracted,3,1.85,0.78
严厉,Target,Manner,Yes,Repelled,5,0,0.78
不理,Theme,Psych,Yes,Repelled,6,0,0.78
不利,Concerned,Attribute,Yes,Repelled,6,0,0.78
上瘾,Stimulus,Psych,Yes,Repelled,5,0,0.78
一见钟情,Stimulus,Psych,Yes,Repelled,6,0,0.78
打折,Scope,Social,No,Repelled,3,0,0.78
怨愤,Stimulus,Psych,Yes,Repelled,6,0,0.78
说,Theme,Communication,No,Attracted,1,0,0
是,Theme,Functional,No,Repelled,1,3.71,0.78
做,Theme,Functional,No,Repelled,1,1.85,0
作,Theme,Functional,No,Attracted,4,5.56,0
说道,Target,Communication,Yes,Attracted,6,3.71,0
采取,Scope,Functional,Yes,Attracted,4,5.56,0
做出,Scope,Functional,Yes,Attracted,5,5.56,0
是,Theme,Functional,No,Repelled,1,3.71,0
毫无,Theme,Functional,No,Attracted,5,3.71,0
抱,Theme,Functional,Yes,Attracted,6,3.71,0
持,Theme,Functional,Yes,Attracted,6,7.41,0
看,Target,Physical,No,Repelled,1,3.71,0
表现,Theme,Functional,No,Attracted,4,3.71,0
加以,Scope,Functional,No,Attracted,6,5.56,0
照顾,Scope,Social,Yes,Attracted,2,3.71,0
提,Target,Communication,No,Attracted,3,3.71,0
着迷,Stimulus,Psych,Yes,Attracted,5,3.71,0
认真,Theme,Psych,Yes,Attracted,2,3.71,0
提,Theme,Communication,Yes,Attracted,3,7.41,0
缺少,Theme,Functional,Yes,Attracted,3,5.56,0
过敏,Stimulus,Psych,Yes,Attracted,4,3.71,0
治疗,Scope,Social,Yes,Attracted,4,3.71,0
赞成,Theme,Psych,Yes,Attracted,4,3.71,0
必不可少,Concerned,Attribute,No,Repelled,6,0,0.78
