ID,Mode,Proficiency,Nationality,L1,Verb,Native_COLL,Native,Textbook,Textbook_COLL,Reliability,Accessibility,Functions,Semantics,Error,ErrorType
HLM_KR,W,NNS2,KR,KR,问,Repelled,0.30,0.00,Repelled,No,1,Target,Communication,Error,collocation_error
XAW_ML,W,NNS2,ML,FR,陌生,Attracted,0.23,0.00,Repelled,Yes,4,Stimulus,Psych,Error,collocation_error
TKLS_JP,W,NNS2,JP,JP,难,Repelled,0.02,0.00,Repelled,No,2,Concerned,Attribute,Error,preposition_misuse
WML_KR,W,NNS2,KR,KR,难,Repelled,0.02,0.00,Repelled,No,2,Theme,Attribute,Error,preposition_misuse
MLIK_TJ,W,NNS2,TJ,Other,难,Repelled,0.02,0.00,Repelled,No,2,Concerned,Attribute,Error,word_order
JZUE_KR,S,NNS2,KR,KR,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
JZUE_KR,S,NNS2,KR,KR,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
CZJ_KR,W,NNS2,KR,KR,难忘,Attracted,0.03,0.00,Repelled,No,6,Concerned,Psych,Error,preposition_misuse
HZJ_KR,W,NNS2,KR,KR,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
RXBHZ_JP,W,NNS2,JP,JP,难忘,Attracted,0.03,0.00,Repelled,No,6,Concerned,Psych,Error,preposition_misuse
SZXY_KR,W,NNS2,KR,KR,难忘,Attracted,0.03,0.00,Repelled,No,6,Concerned,Psych,Error,preposition_misuse
SGY_KR,W,NNS2,KR,KR,难忘,Attracted,0.03,0.00,Repelled,No,6,Concerned,Psych,Error,preposition_misuse
JA_KR,W,NNS2,KR,KR,顽皮,Repelled,0.00,0.00,Repelled,No,6,Concerned,Attribute,Error,preposition_misuse
LHYI_VN,W,NNS2,VN,VN,骂,Repelled,0.16,1.85,Repelled,No,4,Target,Communication,Error,collocation_error
HYH_KR,W,NNS2,KR,KR,骗,Repelled,0.00,0.00,Repelled,No,3,Target,Social,Error,collocation_error
NS_ML,S,NNS2,ML,FR,高兴,Repelled,0.18,0.00,Repelled,No,1,Concerned,Psych,Error,preposition_misuse
ALFD_GN,S,NNS2,GN,EN,高兴,Repelled,0.18,0.00,Repelled,No,1,Reason,Psych,Error,preposition_misuse
LZYO_KR,W,NNS2,KR,KR,鼓起,Repelled,0.00,0.00,Repelled,No,6,Target,Functional,Error,collocation_error
DYSR_JP+I_,S,NNS2,JP,JP,*,N/A,0,0,N/A,No,N/A,Purpose,N/A,Error,preposition_misuse
MALK_TJ,S,NNS2,TJ,Other,*,N/A,0,0,N/A,No,N/A,Purpose,N/A,Error,preposition_misuse
YZX_KR,W,NNS2,KR,KR,帮,Repelled,0.06,0.00,Repelled,No,1,Theme,Social,Error,preposition_misuse
SXX_KR,W,NNS2,KR,KR,发生,Attracted,0.23,1.85,Attracted,No,3,Concerned,Functional,Error,preposition_misuse
YY_TH,W,NNS2,TH,TH,幸福,Repelled,0.00,0.00,Repelled,No,3,Experiencer,Psych,Error,preposition_misuse
YY_TH,W,NNS2,TH,TH,讨厌,Repelled,0.12,0.00,Repelled,No,3,Concerned,Psych,Error,preposition_misuse
YTJ_JP,W,NNS2,JP,JP,感谢,Attracted,0.02,0.00,Repelled,Yes,3,Stimulus,Psych,Correct,Correct
JDR_KR,W,NNS2,KR,KR,感谢,Attracted,0.02,0.00,Repelled,Yes,3,Stimulus,Psych,Correct,Correct
ABM_CM,W,NNS2,CM,EN,感谢,Attracted,0.02,0.00,Repelled,Yes,3,Stimulus,Psych,Correct,Correct
GAXZ_JP,W,NNS2,JP,JP,感谢,Attracted,0.02,0.00,Repelled,Yes,3,Stimulus,Psych,Correct,Correct
BYL_BR,W,NNS2,BR,PT,不如,Repelled,0,0,Repelled,No,4,Reason,Attribute,Error,preposition_misuse
SCYS_JP,W,NNS2,JP,JP,好用,Repelled,0.00,0.00,Repelled,No,6,Concerned,Attribute,Error,preposition_misuse
PRL_KR,W,NNS2,KR,KR,扔,Attracted,0.04,0.00,Repelled,No,3,Target,Physical,Error,preposition_misuse
JZUE_KR,W,NNS2,KR,KR,难忘,Attracted,0.03,0.00,Repelled,No,6,Concerned,Psych,Error,preposition_misuse
JZUE_KR,W,NNS2,KR,KR,难忘,Attracted,0.03,0.00,Repelled,No,6,Concerned,Psych,Error,preposition_misuse
QBYZ_JP,W,NNS2,JP,JP,难忘,Attracted,0.03,0.00,Repelled,No,6,Concerned,Psych,Error,preposition_misuse
ZCYT_JP,W,NNS2,JP,JP,带来,Attracted,1.35,0.00,Repelled,No,6,Concerned,Functional,Error,collocation_error
LXJ_KR,W,NNS2,KR,KR,*,Attracted,19.49,87.12,Attracted,*,1,Concerned,Functional,Error,omission
LTT_KR,W,NNS2,KR,KR,吃,Repelled,0.06,0.00,Repelled,No,1,Scope,Physical,Error,preposition_misuse
CL_GN,S,NNS2,GN,EN,想,Repelled,0.40,0.00,Repelled,No,1,Concerned,Psych,Error,preposition_misuse
WAL_EE,W,NNS2,EE,Other,感觉,Attracted,0.22,0.00,Repelled,Yes,3,Stimulus,Psych,Error,collocation_error
PRL_KR,W,NNS2,KR,KR,是,Attracted,6.62,18.54,Repelled,Yes,1,Concerned,Functional,Correct,Correct
SHZ_KR,W,NNS2,KR,KR,一无所知,Attracted,0.45,0.00,Repelled,No,6,Theme,Psych,Correct,Correct
QFS_KR,S,NNS2,KR,KR,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
WHY_TH,W,NNS2,TH,TH,一样,Repelled,0.21,0.00,Repelled,Yes,2,Target,Manner,Correct,Correct
CRHI_KR,W,NNS2,KR,KR,一见钟情,Attracted,0.16,0.00,Repelled,Yes,6,Stimulus,Psych,Correct,Correct
MEL_RU,S,NNS2,RU,RU,上瘾,Attracted,0.07,0.00,Repelled,Yes,5,Stimulus,Psych,Correct,Correct
HRL_KH,W,NNS2,KH,Other,不利,Attracted,0.79,0.00,Repelled,Yes,6,Concerned,Attribute,Correct,Correct
WYMU_SD,W,NNS2,SD,AR,不满,Attracted,0.58,0.00,Repelled,Yes,6,Stimulus,Psych,Correct,Correct
HJ_RU,W,NNS2,RU,RU,不满,Attracted,0.58,0.00,Repelled,Yes,6,Stimulus,Psych,Correct,Correct
WM_RU,W,NNS2,RU,RU,不满,Attracted,0.58,0.00,Repelled,Yes,6,Stimulus,Psych,Correct,Correct
YCHI_VN,W,NNS2,VN,VN,不错,Attracted,6.62,18.54,Repelled,Yes,1,Concerned,Attribute,Error,preposition_misuse
LTQ_PE,W,NNS2,PE,ES,严厉,Attracted,0.07,0.00,Repelled,Yes,5,Target,Manner,Correct,Correct
ACYL_JP,W,NNS2,JP,JP,严肃,Repelled,0.03,1.85,Attracted,Yes,4,Target,Manner,Correct,Correct
MLY_RU,S,NNS2,RU,RU,习惯,Repelled,0.22,1.85,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
ZTT_TH,S,NNS2,TH,TH,习惯,Repelled,0.22,1.85,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
WLLY_RU,W,NNS2,RU,RU,习惯,Repelled,0.22,1.85,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
MLY_RU,W,NNS2,RU,RU,习惯,Repelled,0.22,1.85,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
LTQ_PE,W,NNS2,PE,ES,习惯,Repelled,0.22,1.85,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
MLY_RU,S,NNS2,RU,RU,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
CSQS_VN,S,NNS2,VN,VN,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
JRR_KR,S,NNS2,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
JSE_KR,S,NNS2,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
LZA_KR,S,NNS2,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
XSM_KR,S,NNS2,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
HBB_NE,S,NNS2,NE,FR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
JZJ_KR,S,NNS2,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
LAQ_MG,S,NNS2,MG,Other,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
XMJ_FR,S,NNS2,FR,FR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
JZLI_KR,W,NNS2,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
LDYI_KR,W,NNS2,KR,KR,满意,Attracted,2.71,25.95,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
LDYI_KR,W,NNS2,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
ZLE_KR,W,NNS2,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
AHR_KR,W,NNS2,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
JNU_GN,W,NNS2,GN,EN,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
RFM_VN,W,NNS2,VN,VN,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
CAMLG_TH,W,NNS2,TH,TH,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
CAMLG_TH,W,NNS2,TH,TH,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
JDYI_KR,S,NNS2,KR,KR,产生,Attracted,9.09,20.39,Attracted,Yes,4,Stimulus,Psych,Correct,Correct
LZSA_KR,W,NNS2,KR,KR,产生,Attracted,9.09,20.39,Attracted,Yes,4,Stimulus,Psych,Correct,Correct
MTY_RU,W,NNS2,RU,RU,产生,Attracted,9.09,20.39,Attracted,Yes,4,Stimulus,Psych,Correct,Correct
ZTT_TH,W,NNS2,TH,TH,产生,Attracted,9.09,20.39,Attracted,Yes,4,Stimulus,Psych,Correct,Correct
SMER_KZ,W,NNS2,KZ,TK,产生,Attracted,9.09,20.39,Attracted,Yes,4,Stimulus,Psych,Correct,Correct
CAMLG_TH,W,NNS2,TH,TH,产生,Attracted,9.09,20.39,Attracted,Yes,4,Stimulus,Psych,Correct,Correct
JRY_KR,W,NNS2,KR,KR,说,Attracted,105.53,385.55,Attracted,No,4,Target,Communication,Correct,Correct
JHXU_KR,W,NNS2,KR,KR,亲切,Attracted,0.08,1.85,Attracted,Yes,4,Target,Manner,Correct,Correct
CAMLG_TH,W,NNS2,TH,TH,体贴,Attracted,0.30,1.85,Attracted,Yes,4,Target,Manner,Correct,Correct
LQQ_TH,W,NNS2,TH,TH,做,Attracted,5.41,3.71,Repelled,Yes,1,Target,Functional,Correct,Correct
QFS_KR,S,NNS2,KR,KR,健康,Repelled,0,0,Repelled,No,2,Concerned,Attribute,Error,collocation_error
WYMU_SD,S,NNS2,SD,AR,公平,Attracted,0.21,1.85,Attracted,Yes,4,Concerned,Attribute,Correct,Correct
LDYI_KR,W,NNS2,KR,KR,关心,Attracted,1.73,18.54,Attracted,Yes,2,Target,Manner,Correct,Correct
ZZLI_KR,W,NNS2,KR,KR,关心,Attracted,1.73,18.54,Attracted,Yes,2,Target,Manner,Correct,Correct
ZZLI_KR,W,NNS2,KR,KR,关心,Attracted,1.73,18.54,Attracted,Yes,2,Target,Manner,Correct,Correct
YR_ES,W,NNS2,ES,ES,关心,Attracted,1.73,18.54,Attracted,Yes,2,Target,Manner,Correct,Correct
LDYI_KR,W,NNS2,KR,KR,兴奋,Repelled,0.05,0.00,Repelled,No,3,Stimulus,Psych,Error,collocation_error
CAMLG_TH,S,NNS2,TH,TH,冷漠,Attracted,0.06,0.00,Repelled,Yes,6,Target,Manner,Correct,Correct
GQQG_JP,W,NNS2,JP,JP,减免,Attracted,0.06,0.00,Repelled,Yes,6,Scope,Social,Correct,Correct
ZSYI_TH,W,NNS2,TH,TH,友善,Attracted,0.06,0.00,Repelled,Yes,6,Target,Manner,Correct,Correct
AMIN_YE,W,NNS2,YE,AR,友好,Repelled,0.07,1.85,Attracted,Yes,3,Target,Manner,Correct,Correct
CHL_TH,W,NNS2,TH,TH,友好,Repelled,0.07,1.85,Attracted,Yes,3,Target,Manner,Correct,Correct
NLSA_KG,W,NNS2,KG,TK,友爱,Attracted,0.04,0.00,Repelled,Yes,6,Target,Manner,Correct,Correct
PZP_KR,W,NNS2,KR,KR,发,Attracted,0.69,0.00,Repelled,Yes,2,Target,Functional,Correct,Correct
CLY_KR,W,NNS2,KR,KR,变,Repelled,0.04,0.00,Repelled,No,2,Scope,Functional,Correct,Correct
MHMAD_TJ,W,NNS2,TJ,Other,有,Attracted,19.49,87.12,Attracted,Yes,1,Concerned,Functional,Error,preposition_misuse
ZLO_RU,W,NNS2,RU,RU,吃惊,Attracted,0.06,0.00,Repelled,Yes,3,Stimulus,Psych,Correct,Correct
MHMAD_TJ,S,NNS2,TJ,Other,合适,Repelled,0.08,0.00,Repelled,No,3,Concerned,Attribute,Correct,Correct
JXZ_KR,S,NNS2,KR,KR,合适,Repelled,0.08,0.00,Repelled,No,3,Concerned,Attribute,Correct,Correct
JA_KR,W,NNS2,KR,KR,合适,Repelled,0.08,0.00,Repelled,No,3,Concerned,Attribute,Correct,Correct
JA_KR,W,NNS2,KR,KR,合适,Repelled,0.08,0.00,Repelled,No,3,Concerned,Attribute,Correct,Correct
JA_KR,W,NNS2,KR,KR,合适,Repelled,0.08,0.00,Repelled,No,3,Concerned,Attribute,Correct,Correct
SZYI_KR,W,NNS2,KR,KR,和善,Attracted,0.02,0.00,Repelled,Yes,6,Target,Manner,Correct,Correct
JHXU_KR,W,NNS2,KR,KR,和蔼,Attracted,0.02,0.00,Repelled,Yes,5,Target,Manner,Correct,Correct
WDLY_RU,W,NNS2,RU,RU,喜爱,Attracted,0.16,0.00,Repelled,No,6,Stimulus,Psych,Correct,Correct
JXH_KR,S,NNS2,KR,KR,失去,Attracted,1.50,3.71,Attracted,Yes,4,Stimulus,Functional,Correct,Correct
JZYA_KR,S,NNS2,KR,KR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
OMLI_TH,S,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
BALID_GN,S,NNS2,GN,EN,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
SWJ_KZ,S,NNS2,KZ,TK,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
JHXI_KR,S,NNS2,KR,KR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
NS_ML,S,NNS2,ML,FR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
OMLI_TH,S,NNS2,TH,TH,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
ALFD_GN,S,NNS2,GN,EN,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
ALFD_GN,S,NNS2,GN,EN,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
ALFD_GN,S,NNS2,GN,EN,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
LMHA_TH+I_,S,NNS2,TH,TH,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
FLS_GQ,S,NNS2,GQ,ES,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
HLY_TH,S,NNS2,TH,TH,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
JTN_GQ,S,NNS2,GQ,ES,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
LLX_KR,S,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
LZA_KR,S,NNS2,KR,KR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
QJZU_KR,S,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
QXX_KR,S,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
ADH_RU,S,NNS2,RU,RU,满意,Attracted,2.71,25.95,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
AGL_BF,S,NNS2,BF,FR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
AGL_BF,S,NNS2,BF,FR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
AGL_BF,S,NNS2,BF,FR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
AMT_TJ,S,NNS2,TJ,Other,友好,Attracted,19.49,87.12,Attracted,Yes,1,Concerned,Manner,Error,collocation_error
BTLK_TG,S,NNS2,TG,EN,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
BTLK_TG,S,NNS2,TG,EN,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
LMA_PT,S,NNS2,PT,PT,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
MENG_TH,S,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
MW_RU,S,NNS2,RU,RU,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
MW_RU,S,NNS2,RU,RU,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
CAMLG_TH,S,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
CAMLG_TH,S,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
JA_KR,S,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
JZE_KR,S,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
JZE_KR,S,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
JZE_KR,S,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
LCL_KR,S,NNS2,KR,KR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
MLY_RU,S,NNS2,RU,RU,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
MLY_RU,S,NNS2,RU,RU,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
MLY_RU,S,NNS2,RU,RU,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
ZLYE_RU,S,NNS2,RU,RU,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
DCYY_JP,S,NNS2,JP,JP,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
LC_TH,S,NNS2,TH,TH,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
LC_TH,S,NNS2,TH,TH,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
LIF_RU,S,NNS2,RU,RU,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
MWH_VE,S,NNS2,VE,ES,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
QFS_KR,S,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
QFS_KR,S,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
WGZE_VN,S,NNS2,VN,VN,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
WYMU_SD,S,NNS2,SD,AR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
YYQH_JP,W,NNS2,JP,JP,应该,Repelled,0.02,0.00,Repelled,No,1,Concerned,Functional,Error,collocation_error
SXD_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
SXD_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
CXYA_KR,W,NNS2,KR,KR,变,Repelled,0.04,0.00,Repelled,No,2,Concerned,Functional,Error,preposition_misuse
CXYA_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
CXYA_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
JXJ_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
JXJ_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
MX_CS,W,NNS2,CS,Other,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
MX_CS,W,NNS2,CS,Other,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
YZX_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
PZY_KR,W,NNS2,KR,KR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
CLY_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
ZJJ_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
ZSM_KR,W,NNS2,KR,KR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
NE_KZ,W,NNS2,KZ,TK,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
ZSM_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
CQM_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
JRY_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
WLLY_RU,W,NNS2,RU,RU,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Error,preposition_misuse
OMLI_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
OMLI_TH,W,NNS2,TH,TH,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
BJM_AO,W,NNS2,AO,PT,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
WJS_MU,W,NNS2,MU,Other,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
KYC_RU,W,NNS2,RU,RU,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
LLS_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
HLH_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
YYQH_JP,W,NNS2,JP,JP,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
GB_MX,W,NNS2,MX,ES,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
GB_MX,W,NNS2,MX,ES,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
GB_MX,W,NNS2,MX,ES,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
MELI_KG,W,NNS2,KG,TK,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
SF_RU,W,NNS2,RU,RU,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Error,preposition_misuse
LWC_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
MHMAD_TJ,W,NNS2,TJ,Other,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
JA_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
JA_KR,W,NNS2,KR,KR,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
MLY_RU,W,NNS2,RU,RU,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
LIF_RU,W,NNS2,RU,RU,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
SSXI_KR,W,NNS2,KR,KR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
CAMLG_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
HPL_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
HPL_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
LWC_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
LWC_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
MLIK_TJ,W,NNS2,TJ,Other,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
PZY_KR,W,NNS2,KR,KR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
LZLA_CD,W,NNS2,CD,FR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
CAMLG_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
LMA_PT,W,NNS2,PT,PT,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
HSE_PK,W,NNS2,PK,Other,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Error,preposition_misuse
CAMLG_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
ZSYI_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
LWC_TH,W,NNS2,TH,TH,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
DNY_RU,W,NNS2,RU,RU,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
LWL_ID,W,NNS2,ID,Other,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
JZUE_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
